category_name,region,quarter,revenue,txns
Personal Care,West,3,273081.33,47
Personal Care,East,2,253492.68,38
Personal Care,East,3,246633.35,50
Personal Care,South,3,242668.82,46
Personal Care,North,2,240521.92,47
Personal Care,Central,4,230174.88,46
Personal Care,Central,1,182537.74,52
Personal Care,West,1,181236.28,40
Free Items,,1,104522.76,15
Free Items,North,,84392.99,12
Free Items,South,,73805.15,11
Free Items,,3,69814.56,13
Free Items,,2,63177.42,8
Free Items,Central,,56043.37,10
Free Items,West,,55833.09,9
Free Items,,4,54941.7,11
Free Items,North,1,35718.63,3
Sporting Goods,,,35219.49,6
Free Items,Central,1,30294.44,5
Free Items,North,4,25829.82,5
Free Items,South,3,25787.5,5
Sporting Goods,,3,25217.96,3
Free Items,South,4,24691.53,2
Free Items,West,2,23191.25,2
Free Items,East,,22381.84,5
Free Items,West,3,19966.72,3
Free Items,South,1,17361.94,3
Free Items,Central,2,14893.92,2
Free Items,North,3,13205.33,2
Sporting Goods,Central,,13040.86,2
Free Items,West,1,11498.67,2
Free Items,Central,3,10855.01,3
Sporting Goods,Central,3,10334.07,1
Free Items,East,1,9649.08,2
Free Items,North,2,9639.21,2
Free Items,East,2,9488.86,1
Sporting Goods,North,,8227.77,1
Sporting Goods,North,3,8227.77,1
Sporting Goods,South,,7294.74,2
Sporting Goods,South,4,6868.17,1
Sporting Goods,,4,6868.17,1
Sporting Goods,West,,6656.12,1
Sporting Goods,West,3,6656.12,1
Free Items,South,2,5964.18,1
Free Items,East,4,3243.9,2
Sporting Goods,,2,2706.79,1
Sporting Goods,Central,2,2706.79,1
Free Items,West,4,1176.45,2
Sporting Goods,,1,426.57,1
Sporting Goods,South,1,426.57,1
